,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.05 Solution Time"
26,ER_700_800_0.15_103,39,37,38,40,40,39,39,42,41,39,30.01210594177246,30.003106117248535,30.02417492866516,30.255725145339966,30.021538972854614,30.037532806396484,30.09785294532776,30.01714015007019,30.013910055160522,30.08682680130005
27,ER_700_800_0.15_24,41,38,39,38,39,39,40,38,40,39,30.098609924316406,30.09615707397461,30.101094007492065,30.1325740814209,30.082864999771118,30.12055206298828,30.09982395172119,30.121698141098022,30.09365200996399,30.12028193473816
28,ER_700_800_0.15_69,40,41,41,39,40,40,38,39,39,38,30.104233026504517,30.081751108169556,30.080974102020264,30.123109102249146,30.07190704345703,30.095813035964966,30.11633801460266,30.100589990615845,30.073598861694336,30.067514181137085
29,ER_700_800_0.15_79,40,39,39,41,40,40,41,39,39,41,30.025959968566895,30.09813904762268,30.02574586868286,30.09471607208252,30.024789094924927,30.075534105300903,30.10594606399536,30.08505892753601,30.09471106529236,30.02331280708313
30,ER_700_800_0.15_118,40,39,39,38,38,39,38,38,38,38,30.026033878326416,30.0881609916687,30.081398010253906,30.08012104034424,30.083354949951172,30.139809131622314,30.02253794670105,30.33397388458252,30.091808080673218,30.0190110206604
31,ER_700_800_0.15_108,39,41,40,39,37,36,40,40,39,39,30.075994968414307,30.026498079299927,30.086007833480835,30.303404092788696,30.268429040908813,30.019593000411987,30.080086946487427,30.081732988357544,30.080286979675293,30.092550039291382
32,ER_700_800_0.15_86,38,39,38,39,38,39,39,37,38,39,30.320329904556274,30.185725927352905,30.087716817855835,30.08970594406128,30.021098136901855,30.11490297317505,30.0748450756073,30.099472999572754,30.07757306098938,30.072253942489624
33,ER_700_800_0.15_96,39,39,42,38,40,38,40,39,40,38,30.081743001937866,30.134864807128906,30.10431218147278,30.115823984146118,30.106127977371216,30.07662796974182,30.076202869415283,30.116667985916138,30.08253502845764,30.104562997817993
34,ER_700_800_0.15_62,41,40,36,37,38,38,39,40,40,36,30.028884887695312,30.021002054214478,30.292647123336792,30.330158948898315,30.014806985855103,30.093317985534668,30.010411024093628,30.027672052383423,30.004431009292603,30.0038161277771
35,ER_700_800_0.15_72,40,39,38,39,39,36,38,39,38,37,30.120570182800293,30.064019918441772,30.383926153182983,30.02316904067993,30.345646858215332,30.541882038116455,30.011903047561646,30.082345008850098,30.089370012283325,30.033522844314575
36,ER_700_800_0.15_7,36,37,37,40,38,39,38,39,39,37,30.22101402282715,30.12246084213257,30.009557008743286,30.02400493621826,30.01988911628723,30.019632816314697,30.020771980285645,30.014332056045532,30.011083126068115,30.018593072891235
37,ER_700_800_0.15_127,37,40,41,38,37,40,39,40,37,38,30.02033805847168,30.11585807800293,30.019016981124878,30.00990390777588,30.108788013458252,30.07305598258972,30.090184926986694,30.078568935394287,30.02442717552185,30.006776809692383
38,ER_700_800_0.15_10,39,39,39,41,39,39,39,40,39,41,30.102109909057617,30.08298110961914,30.09591507911682,30.082892894744873,30.087164163589478,30.084403038024902,30.076642990112305,30.130510807037354,30.10525608062744,30.10006308555603
39,ER_700_800_0.15_101,40,40,40,39,37,39,38,38,41,38,30.088025093078613,30.101263999938965,30.083213806152344,30.090373992919922,30.022953033447266,30.022459983825684,30.027760982513428,30.02086091041565,30.019203186035156,30.01963996887207
40,ER_700_800_0.15_26,37,38,40,39,39,39,40,40,39,40,30.1425359249115,30.115516185760498,30.148871183395386,30.084036111831665,30.099082946777344,30.13018822669983,30.15553092956543,30.086334943771362,30.10016393661499,30.087690830230713
41,ER_700_800_0.15_111,41,41,38,39,40,41,39,39,39,40,30.08957314491272,30.015812873840332,30.009327173233032,30.02165412902832,30.025324821472168,30.023000955581665,30.028790950775146,30.0230929851532,30.02877688407898,30.098462104797363
