,Dataset Name,"Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Size","Gurobi_warm_rand batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three with random sample rate of 0.1 Solution Time"
53,ER_700_800_0.15_97,40,30.07768487930298
54,ER_700_800_0.15_87,40,30.06770086288452
55,ER_700_800_0.15_109,41,30.0606689453125
56,ER_700_800_0.15_119,44,30.08295202255249
57,ER_700_800_0.15_6,40,30.059696912765503
58,ER_700_800_0.15_73,40,30.0474910736084
59,ER_700_800_0.15_63,41,30.05786108970642
60,ER_700_800_0.15_11,40,30.080217123031616
61,ER_700_800_0.15_126,41,30.04826307296753
62,ER_700_800_0.15_3,41,30.071329832077026
63,ER_700_800_0.15_66,39,30.060301065444946
64,ER_700_800_0.15_76,41,30.058084964752197
65,ER_700_800_0.15_123,39,30.029907941818237
66,ER_700_800_0.15_14,40,30.05510401725769
67,ER_700_800_0.15_59,41,30.0624041557312
68,ER_700_800_0.15_49,42,30.063199043273926
69,ER_700_800_0.15_82,41,30.054033041000366
70,ER_700_800_0.15_92,40,30.06261110305786
71,ER_700_800_0.15_22,40,30.066914081573486
72,ER_700_800_0.15_105,39,30.055368185043335
73,ER_700_800_0.15_32,41,30.068392992019653
74,ER_700_800_0.15_115,42,30.083072900772095
75,ER_700_800_0.15_40,41,30.063509941101074
76,ER_700_800_0.15_50,39,30.068548917770386
77,ER_700_800_0.15_114,41,30.072514057159424
78,ER_700_800_0.15_33,40,30.06330895423889
79,ER_700_800_0.15_104,40,30.07088303565979
80,ER_700_800_0.15_23,42,30.05347180366516
81,ER_700_800_0.15_51,42,30.061408042907715
82,ER_700_800_0.15_41,41,30.070080995559692
83,ER_700_800_0.15_77,42,30.06804394721985
84,ER_700_800_0.15_67,40,30.073690176010132
85,ER_700_800_0.15_2,42,30.036936044692993
86,ER_700_800_0.15_15,39,30.06614398956299
87,ER_700_800_0.15_122,39,30.06919813156128
88,ER_700_800_0.15_48,40,30.06617498397827
89,ER_700_800_0.15_58,39,30.058191061019897
90,ER_700_800_0.15_93,40,30.050357818603516
91,ER_700_800_0.15_83,42,30.06562089920044
92,ER_700_800_0.15_9,40,30.057727813720703
93,ER_700_800_0.15_43,41,30.054986000061035
94,ER_700_800_0.15_53,42,30.069485902786255
95,ER_700_800_0.15_106,40,30.068669080734253
96,ER_700_800_0.15_21,39,30.04965877532959
97,ER_700_800_0.15_116,39,30.056770086288452
98,ER_700_800_0.15_31,42,30.056185960769653
99,ER_700_800_0.15_98,40,30.08115005493164
100,ER_700_800_0.15_88,41,30.060116052627563
101,ER_700_800_0.15_120,39,30.06461191177368
102,ER_700_800_0.15_17,40,30.060865879058838
103,ER_700_800_0.15_65,41,30.057241916656494
104,ER_700_800_0.15_75,42,30.062466144561768
105,ER_700_800_0.15_0,41,30.06274700164795
106,ER_700_800_0.15_38,40,30.054877996444702
107,ER_700_800_0.15_28,40,30.067028999328613
108,ER_700_800_0.15_81,40,30.06151294708252
109,ER_700_800_0.15_91,39,30.026647090911865
110,ER_700_800_0.15_16,42,30.054012060165405
111,ER_700_800_0.15_121,39,30.05476713180542
112,ER_700_800_0.15_1,43,30.06295895576477
113,ER_700_800_0.15_74,41,30.051748991012573
114,ER_700_800_0.15_64,42,30.054338932037354
