,Dataset Name,"pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 450 Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 13500 Solution Size","Gurobi batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Size","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 450 Solution Time","pCQO_MIS ER 700-800 MGD batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three at step 13500 Solution Time","Gurobi batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three Solution Time"
79,ER_700_800_0.15_104,37,38,38,40,2.9161148071289062,35.67512035369873,30.00465178489685,30.003456115722656
80,ER_700_800_0.15_23,36,40,36,40,3.1082539558410645,31.36155128479004,30.119143962860107,30.330294847488403
81,ER_700_800_0.15_51,39,39,38,41,4.163762331008911,30.99633264541626,30.009650945663452,30.003358125686646
82,ER_700_800_0.15_41,38,38,38,41,2.580230236053467,33.16140174865723,30.002350091934204,30.002443075180054
83,ER_700_800_0.15_77,37,39,37,38,3.039306879043579,42.240838289260864,30.537864923477173,30.002949953079224
84,ER_700_800_0.15_67,36,40,39,39,2.641496419906616,41.83406400680542,30.008273124694824,30.00294804573059
85,ER_700_800_0.15_2,37,39,39,42,2.9913480281829834,42.33386778831482,30.002479076385498,30.00287103652954
86,ER_700_800_0.15_15,37,39,35,40,2.668421983718872,33.08486795425415,30.023557901382446,30.007735013961792
87,ER_700_800_0.15_122,36,39,40,41,2.4813013076782227,42.08914875984192,30.002381086349487,30.00314712524414
88,ER_700_800_0.15_48,37,39,38,40,2.223708391189575,42.36880588531494,30.002837896347046,30.003294944763184
89,ER_700_800_0.15_58,36,40,38,38,2.395312786102295,37.293941497802734,30.005656003952026,30.00224494934082
90,ER_700_800_0.15_93,35,38,39,39,2.2037878036499023,41.233802795410156,30.00431990623474,30.011192083358765
91,ER_700_800_0.15_83,37,40,38,37,2.345198154449463,40.24586248397827,30.003752946853638,30.00391912460327
92,ER_700_800_0.15_9,36,39,37,38,2.360429048538208,34.16489791870117,30.00309991836548,30.00283193588257
93,ER_700_800_0.15_43,37,39,36,39,2.7909271717071533,42.61285901069641,30.002748012542725,30.003113985061646
94,ER_700_800_0.15_53,38,39,36,39,3.351113796234131,41.546072244644165,30.002235889434814,30.003628969192505
95,ER_700_800_0.15_106,38,39,39,40,2.4920437335968018,33.07029104232788,30.003504037857056,30.005088090896606
96,ER_700_800_0.15_21,37,38,38,40,2.8013553619384766,40.5771758556366,30.02090096473694,30.003289222717285
97,ER_700_800_0.15_116,36,39,39,40,2.7441511154174805,40.82672095298767,30.003350019454956,30.00347399711609
98,ER_700_800_0.15_31,37,38,36,38,1.7726342678070068,37.45571851730347,30.42605209350586,30.32488489151001
99,ER_700_800_0.15_98,37,40,35,39,3.0970964431762695,39.92129969596863,30.00259780883789,30.00279402732849
100,ER_700_800_0.15_88,36,39,37,40,2.6224231719970703,37.57535409927368,30.005257844924927,30.003669023513794
101,ER_700_800_0.15_120,39,39,38,40,3.6609318256378174,33.50575280189514,30.00867009162903,30.004244804382324
102,ER_700_800_0.15_17,36,38,36,40,2.7791740894317627,37.23900890350342,30.00364398956299,30.007396936416626
103,ER_700_800_0.15_65,37,40,35,39,2.9177942276000977,35.9648551940918,30.258755922317505,30.00758194923401
104,ER_700_800_0.15_75,36,38,38,40,1.5893831253051758,36.582698345184326,30.01020097732544,30.0036039352417
105,ER_700_800_0.15_0,37,39,37,39,2.966298818588257,34.993042945861816,30.005671977996826,30.00348687171936
106,ER_700_800_0.15_38,36,38,39,40,2.622986316680908,34.2139310836792,30.003464937210083,30.004101037979126
107,ER_700_800_0.15_28,37,39,40,39,2.6170308589935303,38.711181640625,30.00346302986145,30.003227949142456
108,ER_700_800_0.15_81,37,39,39,41,2.202622652053833,33.77796506881714,30.00399088859558,30.004146099090576
109,ER_700_800_0.15_91,37,39,42,39,2.8569626808166504,32.88379955291748,30.00824499130249,30.018013954162598
110,ER_700_800_0.15_16,37,39,37,40,2.6506693363189697,33.86608910560608,30.002641916275024,30.0074200630188
111,ER_700_800_0.15_121,37,38,42,40,2.508709669113159,32.893651247024536,30.003489017486572,30.003765106201172
112,ER_700_800_0.15_1,36,40,38,39,2.906134605407715,31.971991777420044,30.002212047576904,30.002434015274048
113,ER_700_800_0.15_74,37,38,36,40,2.5533149242401123,34.93215894699097,30.028087854385376,30.016642093658447
114,ER_700_800_0.15_64,38,40,38,41,2.327176332473755,32.20142650604248,30.005397081375122,30.004066944122314
115,ER_700_800_0.15_90,36,39,37,38,2.3158962726593018,32.97474765777588,30.010673999786377,30.009072065353394
116,ER_700_800_0.15_80,38,39,36,39,3.4303665161132812,34.14447045326233,30.829216957092285,30.453917026519775
117,ER_700_800_0.15_29,36,39,35,39,2.6891942024230957,34.70028853416443,30.008538007736206,30.0054190158844
118,ER_700_800_0.15_39,37,38,36,38,3.0678951740264893,30.954005479812622,30.02380895614624,30.00388813018799
119,ER_700_800_0.15_8,36,39,39,38,3.0814332962036133,33.70307755470276,30.003265142440796,30.00229811668396
120,ER_700_800_0.15_52,36,38,35,37,2.965285062789917,32.267295837402344,30.002915859222412,30.39929509162903
121,ER_700_800_0.15_42,39,39,35,41,2.7802908420562744,37.140902280807495,30.671614170074463,30.84733295440674
122,ER_700_800_0.15_89,36,39,37,38,4.1647608280181885,36.67248487472534,30.232810974121094,30.309119939804077
123,ER_700_800_0.15_99,37,40,38,39,3.7930803298950195,31.611810207366943,30.00992488861084,30.00425386428833
124,ER_700_800_0.15_30,37,40,35,38,2.947227716445923,41.70493006706238,30.42852020263672,30.43879008293152
125,ER_700_800_0.15_117,37,39,37,37,3.8540568351745605,33.58739924430847,30.6290922164917,30.356191873550415
126,ER_700_800_0.15_20,37,39,36,37,2.6664414405822754,30.91957712173462,30.53241491317749,30.220988988876343
127,ER_700_800_0.15_107,37,38,37,39,2.62027645111084,32.74048042297363,30.00433087348938,30.00509214401245
