,Dataset Name,"Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 450 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 with random sample rate of 0.1 Solution Size","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 450 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 2250 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 4500 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 6750 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 9000 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 11250 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 13500 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 15750 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 18000 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 20250 with random sample rate of 0.1 Solution Time","Gurobi_warm batch_size=256, learning_rate=0.001, momentum=0.5, gamma=500, gamma_prime=1,  terms=three warm start at step 22500 with random sample rate of 0.1 Solution Time"
25,ER_700_800_0.05_18,95,94,93,93,95,92,93,92,93,94,93,30.028615951538086,30.10046696662903,30.044034004211426,30.106204986572266,30.184608936309814,30.007641077041626,30.027286052703857,30.12078309059143,30.116141080856323,30.02351212501526,30.045408010482788
26,ER_700_800_0.05_27,89,93,92,92,94,94,93,96,93,91,92,30.18640899658203,30.040628910064697,30.022491931915283,30.025042057037354,30.069014072418213,30.099921941757202,30.12310004234314,30.299474954605103,30.32454013824463,30.059888124465942,30.04244899749756
27,ER_700_800_0.05_6,94,94,95,95,97,95,98,98,98,100,98,30.022774934768677,30.056628942489624,30.02815890312195,30.02589511871338,30.030220985412598,30.0258731842041,30.04065203666687,30.02081799507141,30.031841039657593,30.03168487548828,30.034294843673706
28,ER_700_800_0.05_19,93,94,95,94,93,96,95,93,93,93,95,30.154676914215088,30.022322177886963,30.030966997146606,30.088032007217407,30.034821033477783,30.217500925064087,30.043589115142822,30.03729796409607,30.020888805389404,30.05975079536438,30.029550790786743
29,ER_700_800_0.05_26,94,98,97,96,96,97,96,100,97,96,96,30.026806831359863,30.02515196800232,30.037081003189087,30.009196043014526,30.02219820022583,30.028455018997192,30.067279815673828,30.02044677734375,30.009719133377075,30.190181016921997,30.36567521095276
30,ER_700_800_0.05_7,96,98,96,96,97,101,98,96,95,100,101,30.03654980659485,30.034029960632324,30.031304836273193,30.030669927597046,30.022854804992676,30.02204990386963,30.01764488220215,30.029993057250977,30.02815294265747,30.02010202407837,30.280148029327393
31,ER_700_800_0.05_10,94,96,93,93,93,96,95,94,92,92,95,30.024807929992676,30.03113603591919,30.023141860961914,30.032177925109863,30.047719955444336,30.114553928375244,30.010571002960205,30.112454175949097,30.10710597038269,30.16496706008911,30.030313968658447
32,ER_700_800_0.1_1,54,57,56,56,55,57,55,55,57,55,56,30.083078145980835,30.069887161254883,30.169840812683105,30.00802707672119,30.026020050048828,30.035174131393433,30.023591995239258,30.01765203475952,30.015509843826294,30.012155055999756,30.02225399017334
33,ER_700_800_0.1_12,56,57,56,56,56,58,56,55,55,56,57,30.010401964187622,30.021382093429565,30.0086669921875,30.019168853759766,30.021606922149658,30.013264179229736,30.008835077285767,30.029309034347534,30.037925958633423,30.031633138656616,30.02263903617859
34,ER_700_800_0.1_8,56,56,55,55,56,54,57,56,56,56,56,30.016467094421387,30.08493185043335,30.05401611328125,30.115909099578857,30.047952890396118,30.031317949295044,30.078122854232788,30.013214111328125,30.016698837280273,30.011653184890747,30.025618076324463
35,ER_700_800_0.1_24,56,53,56,57,56,57,56,57,58,58,57,30.02340602874756,30.10009503364563,30.01696491241455,30.02193593978882,30.043528079986572,30.049190998077393,30.067157983779907,30.03173303604126,30.046330213546753,30.025146961212158,30.02217197418213
36,ER_700_800_0.1_9,57,58,60,58,58,59,57,58,57,56,59,30.031421899795532,30.024240970611572,30.022023916244507,30.024126052856445,30.007596969604492,30.016044855117798,30.007174015045166,30.00964093208313,30.019572973251343,30.055460929870605,30.025788068771362
37,ER_700_800_0.1_25,56,55,55,55,55,56,55,53,57,55,55,30.1738920211792,30.287823915481567,30.142138957977295,30.022037029266357,30.078954935073853,30.256690979003906,30.070873975753784,30.020851850509644,30.024293899536133,30.21085000038147,30.069142818450928
38,ER_700_800_0.1_0,54,57,56,56,55,56,57,58,55,54,56,30.32429599761963,30.101866006851196,30.203824996948242,30.053897857666016,30.091302156448364,30.06045413017273,30.060041904449463,30.04973793029785,30.077115058898926,30.451783895492554,30.05225396156311
39,ER_700_800_0.1_13,57,54,55,58,57,54,56,55,56,54,57,30.068424940109253,30.01777410507202,30.076562881469727,30.0974600315094,30.028589010238647,30.023792028427124,30.028133869171143,30.291337966918945,30.037247896194458,30.034132957458496,30.37667202949524
40,ER_700_800_0.1_27,57,53,53,55,55,53,53,54,54,55,53,30.00908899307251,30.150673151016235,30.021790027618408,30.024714946746826,30.030214071273804,30.119900941848755,30.103600025177002,30.03319787979126,30.02301597595215,30.122459888458252,30.02523708343506
41,ER_700_800_0.1_18,55,56,55,57,57,55,60,56,58,56,56,30.00739812850952,30.116838932037354,30.08446502685547,30.023255109786987,30.020375967025757,30.053569078445435,30.02040696144104,30.120765924453735,30.020952939987183,30.024610996246338,30.027595043182373
42,ER_700_800_0.1_2,56,55,56,56,56,54,57,56,54,55,55,30.02761697769165,30.02023696899414,30.02644109725952,30.02095103263855,30.02099919319153,30.019280195236206,30.022778034210205,30.012360095977783,30.01039409637451,30.024013996124268,30.022522926330566
43,ER_700_800_0.1_11,57,58,58,57,57,59,59,57,55,56,61,30.02048897743225,30.02473020553589,30.007941961288452,30.079867124557495,30.019057989120483,30.02199697494507,30.024322986602783,30.009100914001465,30.01963782310486,30.023560047149658,30.029002904891968
44,ER_700_800_0.1_3,55,57,56,56,55,56,57,55,58,57,55,30.02447485923767,30.02124810218811,30.020572900772095,30.148338079452515,30.020915985107422,30.020915985107422,30.023663997650146,30.026060104370117,30.02069592475891,30.012591123580933,30.02375817298889
45,ER_700_800_0.1_10,56,56,55,55,60,54,54,54,57,54,55,30.021939039230347,30.063915014266968,30.022613048553467,30.05721402168274,30.106130123138428,30.14550805091858,30.222429037094116,30.159757137298584,30.021908044815063,30.10109782218933,30.132309913635254
46,ER_700_800_0.1_26,56,53,54,56,57,57,55,56,55,55,57,30.018549919128418,30.02208685874939,30.09901189804077,30.162900924682617,30.026060819625854,30.11839985847473,30.276829957962036,30.024039030075073,30.021824836730957,30.04097819328308,30.166681051254272
47,ER_700_800_0.1_19,55,56,57,59,57,55,57,58,56,57,57,30.092999935150146,30.023921966552734,30.025527000427246,30.022809982299805,30.056421041488647,30.101660013198853,30.028589010238647,30.045006036758423,30.27639603614807,30.02558422088623,30.091362953186035
48,ER_700_800_0.1_23,54,56,56,56,56,56,55,56,55,55,53,30.104490041732788,30.024780988693237,30.325968980789185,30.025840997695923,30.029229164123535,30.284749031066895,30.09936809539795,30.05911898612976,30.065370082855225,30.291754961013794,30.033421993255615
49,ER_700_800_0.1_15,59,57,57,57,55,55,56,57,56,55,55,30.044538021087646,30.015519857406616,30.02181887626648,30.022467136383057,30.01951313018799,30.051109790802002,30.196049213409424,30.020618200302124,30.025657892227173,30.024090051651,30.02055788040161
50,ER_700_800_0.1_6,55,54,55,55,56,57,55,58,57,56,57,30.29072403907776,30.01886796951294,30.199465036392212,30.02240800857544,30.057926893234253,30.021817922592163,30.019668102264404,30.13504385948181,30.02220892906189,30.02108597755432,30.021780967712402
51,ER_700_800_0.1_14,56,55,55,54,56,56,56,56,58,55,56,30.067770957946777,30.072761058807373,30.02365207672119,30.02200412750244,30.019142866134644,30.342480897903442,30.26815915107727,30.022541046142578,30.02057695388794,30.02012801170349,30.02015709877014
52,ER_700_800_0.1_7,59,56,56,58,56,57,57,58,55,58,59,30.020952224731445,30.007081031799316,30.00765299797058,30.021481037139893,30.019734144210815,30.024033069610596,30.025278091430664,30.02191686630249,30.025101900100708,30.17072606086731,30.022441864013672
53,ER_700_800_0.1_22,55,54,57,55,56,56,54,56,55,55,53,30.021832942962646,30.023080110549927,30.027218103408813,30.02354097366333,30.01987099647522,30.024712085723877,30.02237606048584,30.024266004562378,30.0229549407959,30.024615049362183,30.02583408355713
54,ER_700_800_0.1_16,56,58,55,55,55,55,56,56,58,56,54,30.018508911132812,30.253822088241577,30.294814109802246,30.022039890289307,30.024553060531616,30.01941704750061,30.281932830810547,30.0654399394989,30.02370309829712,30.122514009475708,30.023998975753784
55,ER_700_800_0.1_29,56,56,55,57,58,58,56,56,58,56,57,30.029714107513428,30.069517850875854,30.031848907470703,30.008208990097046,30.02799892425537,30.021517992019653,30.02115797996521,30.011059045791626,30.022677898406982,30.023826122283936,30.55770492553711
56,ER_700_800_0.1_5,55,57,55,56,55,56,55,56,57,55,56,30.12283205986023,30.11629891395569,30.2899489402771,30.02169919013977,30.223405122756958,30.020066022872925,30.026199102401733,30.019630908966064,30.213024854660034,30.070578813552856,30.17774200439453
57,ER_700_800_0.1_20,55,55,56,55,54,56,55,56,56,55,55,30.02064299583435,30.02274203300476,30.02503204345703,30.11496090888977,30.020774126052856,30.029572010040283,30.091558933258057,30.02622103691101,30.026385068893433,30.025641202926636,30.05172896385193
58,ER_700_800_0.1_30,57,56,57,56,58,58,57,58,57,57,59,30.023704051971436,30.027300119400024,30.025763034820557,30.01546597480774,30.028409004211426,30.030591011047363,30.036974906921387,30.020253896713257,30.033973932266235,30.02678680419922,30.082967042922974
59,ER_700_800_0.1_31,57,55,54,55,56,56,56,57,55,54,55,30.029866933822632,30.01346182823181,30.035732984542847,30.02290916442871,30.008979082107544,30.009376049041748,30.03005313873291,30.005911827087402,30.112174034118652,30.308398962020874,30.02088499069214
60,ER_700_800_0.1_21,55,57,56,56,56,56,57,58,57,55,56,30.020491123199463,30.020296812057495,30.019892930984497,30.017210006713867,30.297268867492676,30.022947788238525,30.0189049243927,30.050752878189087,30.11986017227173,30.011708974838257,30.165689945220947
61,ER_700_800_0.1_17,54,54,56,54,57,57,57,54,57,56,57,30.079400062561035,30.065412998199463,30.041966199874878,30.022200107574463,30.022269010543823,30.019739151000977,30.246843814849854,30.07681703567505,30.19952702522278,30.20088291168213,30.023633003234863
62,ER_700_800_0.1_28,55,56,56,55,57,56,55,56,56,55,55,30.053210020065308,30.033796072006226,30.024065017700195,30.02228593826294,30.029295921325684,30.11987805366516,30.10050916671753,30.022222995758057,30.02286696434021,30.050508975982666,30.010364055633545
63,ER_700_800_0.1_4,56,56,54,56,58,59,57,59,56,56,58,30.02324914932251,30.06418013572693,30.17468500137329,30.105661869049072,30.067049980163574,30.013488054275513,30.159798860549927,30.0223548412323,30.024949073791504,30.026421070098877,30.02367401123047
64,ER_700_800_0.15_25,40,40,41,40,41,40,41,40,39,40,41,30.045198917388916,30.01110291481018,30.029972076416016,30.013428926467896,30.042762994766235,30.076008081436157,30.04081916809082,30.03869390487671,30.02699303627014,30.01770281791687,30.009916067123413
65,ER_700_800_0.15_13,42,41,40,39,42,39,40,41,40,40,41,30.023123025894165,30.024472951889038,30.023494005203247,30.024558067321777,30.023518085479736,30.027102947235107,30.010508060455322,30.025219917297363,30.0207998752594,30.026838064193726,30.025105953216553
66,ER_700_800_0.15_4,41,41,41,41,41,41,40,41,40,41,41,30.03291606903076,30.015602111816406,30.073508977890015,30.02662491798401,30.023468017578125,30.027682065963745,30.01953387260437,30.035569190979004,30.031071186065674,30.132040977478027,30.026556968688965
67,ER_700_800_0.15_12,42,42,42,40,41,39,40,40,42,39,41,30.020853996276855,30.02481698989868,30.007561922073364,30.04493498802185,30.01016592979431,30.044478178024292,30.04169988632202,30.080824851989746,30.01092004776001,30.065759897232056,30.031302213668823
68,ER_700_800_0.15_5,40,40,40,41,42,41,41,41,40,42,41,30.02458906173706,30.023396015167236,30.011264085769653,30.015339851379395,30.022436141967773,30.022130966186523,30.02942991256714,30.029396057128906,30.024313926696777,30.02494788169861,30.023595094680786
69,ER_700_800_0.15_24,40,42,41,42,41,42,40,40,39,40,41,30.024182081222534,30.024696111679077,30.023584842681885,30.032551050186157,30.026896953582764,30.02527117729187,30.022693872451782,30.019281148910522,30.03859806060791,30.009061098098755,30.022796154022217
70,ER_700_800_0.15_7,41,42,41,41,42,41,39,39,40,40,40,30.056814193725586,30.155375003814697,30.187947988510132,30.084872007369995,30.027498960494995,30.054805040359497,30.178043127059937,30.073201894760132,30.03847599029541,30.25177502632141,30.017856121063232
71,ER_700_800_0.15_10,41,39,38,43,41,41,39,41,39,40,40,30.0824978351593,30.025214910507202,30.058665990829468,30.074131965637207,30.040688037872314,30.072118997573853,30.060133934020996,30.222160816192627,30.158649921417236,30.07835602760315,30.132174968719482
72,ER_700_800_0.15_26,40,41,42,39,42,40,43,41,42,40,40,30.09473490715027,30.212016105651855,30.041332006454468,30.063352823257446,30.066529035568237,30.084728002548218,30.048920154571533,30.065608978271484,30.096181869506836,30.1973819732666,30.183931827545166
73,ER_700_800_0.15_19,39,39,39,40,40,40,39,39,39,40,39,30.12681007385254,30.26428508758545,30.078899145126343,30.052891969680786,30.056202173233032,30.219406127929688,30.116432905197144,30.199405908584595,30.317426919937134,30.366538047790527,30.52493906021118
74,ER_700_800_0.15_27,39,38,38,38,39,39,39,42,41,40,40,30.15856099128723,30.15479803085327,30.068586826324463,30.48275899887085,30.416193962097168,30.04723286628723,30.293509006500244,30.17849898338318,30.079869031906128,30.5926570892334,30.141862154006958
75,ER_700_800_0.15_18,42,40,39,38,43,38,39,40,40,40,40,30.142471075057983,30.17314100265503,30.482528924942017,30.35166096687317,30.202296018600464,30.16078805923462,30.172672033309937,30.391825914382935,30.2407009601593,30.04505205154419,30.193954944610596
76,ER_700_800_0.15_6,39,40,40,40,40,40,36,39,41,41,40,30.11735486984253,30.081247091293335,30.18877387046814,30.229766845703125,30.175004959106445,30.22953200340271,30.268533945083618,30.465997219085693,30.172359943389893,30.12946891784668,30.213761806488037
77,ER_700_800_0.15_11,42,41,42,40,40,41,39,40,39,39,42,30.047790050506592,30.07528591156006,30.090842962265015,30.147666931152344,30.074326038360596,30.109105110168457,30.192571878433228,30.169172048568726,30.13948082923889,30.28136706352234,30.10965609550476
78,ER_700_800_0.15_3,40,40,39,40,39,40,41,38,42,40,40,30.146756172180176,30.097206115722656,30.048032999038696,30.081979036331177,30.192861080169678,30.448451042175293,30.044052839279175,30.0645489692688,30.12806510925293,30.071650981903076,30.14663791656494
79,ER_700_800_0.15_14,40,40,39,40,41,41,40,41,41,41,40,30.12349510192871,30.06614899635315,30.08610200881958,30.12555980682373,30.06510591506958,30.43343186378479,30.130695104599,30.154688835144043,30.064130067825317,30.070019006729126,30.06513786315918
80,ER_700_800_0.15_22,40,40,41,40,40,40,40,40,40,40,40,30.028735160827637,30.09338688850403,30.058690071105957,30.15044593811035,30.05789017677307,30.329620122909546,30.221578121185303,30.081204891204834,30.10741090774536,30.148380041122437,30.19658398628235
81,ER_700_800_0.15_23,41,39,42,41,41,40,40,40,42,42,43,30.1857008934021,30.154114961624146,30.37501096725464,30.394722938537598,30.204206943511963,30.278197050094604,30.121428966522217,30.2011399269104,30.097553968429565,30.40075993537903,30.16929602622986
82,ER_700_800_0.15_2,39,39,41,39,41,41,39,39,39,40,40,30.091794967651367,30.14597201347351,30.01306390762329,30.053133010864258,30.140559911727905,30.12980008125305,30.059742212295532,30.017241954803467,30.19655203819275,30.03622603416443,30.05646014213562
